fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,,Counter
10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,6,10.20.6450.361.80.0535140.99823.170.42106,1
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5,10.20.670.391.90.0546170.99763.170.47105,2
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5,10.20.670.391.90.0546170.99763.170.47105,2
10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,6,10.30.270.242.10.07215330.99563.220.6612.86,1
10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,6,10.30.270.561.40.047380.994713.160.5111.86,1
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8,10.30.320.456.40.0735130.99763.230.8212.68,1
10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,5,10.30.340.522.80.15915750.99983.180.649.45,1
10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6,10.30.410.422.40.2136140.99943.190.629.56,1
10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,6,10.30.430.442.40.2145120.99943.190.639.56,1
10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5,10.30.440.54.50.1075130.9983.280.8311.55,1
10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,6,10.30.50.4220.06921510.99823.160.7211.56,1
10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6,10.30.530.482.50.0636250.99983.120.599.36,2
10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6,10.30.530.482.50.0636250.99983.120.599.36,2
10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,6,10.30.590.422.80.0935730.9993.280.79.56,1
10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,7,10.40.240.461.80.0756210.99763.251.0210.87,1
10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,6,10.40.240.491.80.0756200.99773.181.06116,1
10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6,10.40.260.481.90.0666100.997243.330.8710.96,2
10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6,10.40.260.481.90.0666100.997243.330.8710.96,2
10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,5,10.40.280.542.70.1055190.99883.250.639.55,1
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7,10.40.330.632.80.0845220.99983.260.7411.27,2
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7,10.40.330.632.80.0845220.99983.260.7411.27,2
10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,6,10.40.340.583.70.1746160.9973.190.711.36,1
10.4,0.38,0.46,2.1,0.104,6,10,0.99664,3.12,0.65,11.8,7,10.40.380.462.10.1046100.996643.120.6511.87,1
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6,10.40.410.553.20.07622540.99963.150.899.96,2
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6,10.40.410.553.20.07622540.99963.150.899.96,2
10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,6,10.40.430.52.30.06813190.9963.10.8711.46,1
10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,3,10.40.440.421.50.14534480.998323.380.869.93,1
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7,10.40.440.736.550.07438760.9993.170.85127,2
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7,10.40.440.736.550.07438760.9993.170.85127,2
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6,10.40.520.4520.086130.997743.220.7611.46,2
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6,10.40.520.4520.086130.997743.220.7611.46,2
10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6,10.40.550.232.70.09118480.99943.220.6410.36,1
10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,5,10.40.5750.612.60.076112413.160.6995,1
10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,3,10.40.610.492.10.25160.99943.160.638.43,1
10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,5,10.40.640.242.80.10529530.99983.240.679.95,1
10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,7,10.50.240.421.80.0776220.99763.211.0510.87,1
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7,10.50.240.472.10.0666240.99783.150.9117,2
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7,10.50.240.472.10.0666240.99783.150.9117,2
10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,7,10.50.260.471.90.0786240.99763.181.0410.97,1
10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,6,10.50.280.511.70.0810240.99823.20.899.46,1
10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,6,10.50.360.472.20.0749230.996383.230.76126,1
10.5,0.39,0.46,2.2,0.075,14,27,0.99598,3.06,0.84,11.4,6,10.50.390.462.20.07514270.995983.060.8411.46,1
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,7,10.50.420.662.950.11612290.9973.240.7511.77,1
10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,6,10.50.430.353.30.09224700.997983.210.6910.56,1
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7,10.50.510.642.40.1076150.99733.090.6611.87,2
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7,10.50.510.642.40.1076150.99733.090.6611.87,2
10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,4,10.50.590.492.10.0714470.99913.30.569.64,1
10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5,10.60.280.3915.50.0696231.00263.120.669.25,1
10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,6,10.60.310.492.20.06318400.99763.140.519.86,1
10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,6,10.60.310.492.50.0676210.99873.260.8610.76,1
10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,6,10.60.340.493.20.07820780.99923.190.7106,1
10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,7,10.60.360.572.30.0876200.996763.140.7211.17,1
10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,5,10.60.360.592.20.1526180.99863.041.059.45,1
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5,10.60.360.62.20.1527180.99863.041.069.45,1
10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,6,10.60.420.482.70.0655180.99723.210.8711.36,1
10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6,10.60.440.684.10.1146240.9973.060.6613.46,1
10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,6,10.60.480.642.20.1116200.9973.260.6611.76,1
10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9,6,10.60.50.452.60.11934680.997083.230.7210.96,1
10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5,10.60.830.372.60.08626700.99813.160.529.95,1
10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,6,10.61.020.432.90.07626880.99843.080.5710.16,1
10.6,1.025,0.43,2.8,0.08,21,84,0.9985,3.06,0.57,10.1,5,10.61.0250.432.80.0821840.99853.060.5710.15,1
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8,10.70.350.532.60.075160.99723.150.65118,2
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8,10.70.350.532.60.075160.99723.150.65118,2
10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,6,10.70.40.371.90.08117290.996743.120.6511.26,1
10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,6,10.70.40.482.10.12515490.9983.030.819.76,1
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5,10.70.430.392.20.1068320.99862.890.59.65,2
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5,10.70.430.392.20.1068320.99862.890.59.65,2
10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,5,10.70.460.3920.0617150.99813.180.629.55,1
10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,7,10.70.520.382.60.06629560.995773.150.7912.17,1
10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,6,10.70.670.222.70.10717341.00043.280.989.96,1
10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,5,10.70.90.346.60.11223991.002893.220.689.35,1
10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,5,10.80.260.453.30.0620490.99723.130.549.65,1
10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,6,10.80.290.421.60.08419270.995453.280.7311.96,1
10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,6,10.80.320.441.60.06316370.99853.220.78106,1
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6,10.80.40.412.20.0847170.99843.080.679.36,2
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6,10.80.40.412.20.0847170.99843.080.679.36,2
10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5,10.80.450.332.50.09920380.998183.240.7110.85,2
10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5,10.80.450.332.50.09920380.998183.240.7110.85,2
10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,6,10.80.470.432.10.17127660.99823.170.7610.86,1
10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5,10.80.50.462.50.0735271.00013.050.649.55,1
10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,5,10.80.890.32.60.1327600.997862.991.1810.25,1
10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,6,10.90.210.492.80.08811320.99723.220.6811.76,1
10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6,10.90.320.521.80.13217440.997343.280.7711.56,2
10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6,10.90.320.521.80.13217440.997343.280.7711.56,2
10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5,10.90.370.5840.07117650.999353.220.7810.15,1
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,10.90.390.471.80.1186140.99823.30.759.86,2
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,10.90.390.471.80.1186140.99823.30.759.86,2
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6,10.90.530.494.60.11810171.00023.070.5611.76,2
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6,10.90.530.494.60.11810171.00023.070.5611.76,2
10,0.26,0.54,1.9,0.083,42,74,0.99451,2.98,0.63,11.8,8,100.260.541.90.08342740.994512.980.6311.88,1
10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,5,100.290.42.90.09810261.00063.480.919.75,1
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7,100.310.472.60.08514330.999653.360.810.57,1
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5,100.320.592.20.0773150.99943.20.789.65,2
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5,100.320.592.20.0773150.99943.20.789.65,2
10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,5,100.350.452.50.09220880.999183.150.439.45,1
10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,6,100.350.4720.0616110.995853.230.52126,1
10,0.38,0.38,1.6,0.169,27,90,0.99914,3.15,0.65,8.5,5,100.380.381.60.16927900.999143.150.658.55,1
10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,7,100.410.456.20.0716140.997023.210.4911.87,1
10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,6,100.420.53.40.1077210.99793.260.9311.86,1
10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,5,100.430.332.70.09528890.99843.220.68105,1
10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,7,100.440.492.70.07711190.99633.230.6311.67,1
10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2,6,100.460.442.90.065480.996743.330.6212.26,1
10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,6,100.480.242.70.102133213.280.56106,1
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6,100.490.2110.07113501.00153.160.699.26,2
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6,100.490.2110.07113501.00153.160.699.26,2
10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,100.560.242.20.07919580.99913.180.5610.16,2
10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6,100.560.242.20.07919580.99913.180.5610.16,2
10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,5,100.580.221.90.089320.99743.130.559.55,1
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6,100.590.312.20.0926620.99943.180.6310.26,2
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6,100.590.312.20.0926620.99943.180.6310.26,2
10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7,5,100.690.111.40.0848240.995782.880.479.75,1
10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,5,100.730.432.30.05915310.99663.150.57115,1
11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,6,11.10.180.481.50.0687150.99733.220.6410.16,1
11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,7,11.10.310.492.70.09416470.99863.121.0210.67,1
11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7,11.10.310.532.20.063100.995723.020.8310.97,2
11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7,11.10.310.532.20.063100.995723.020.8310.97,2
11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,5,11.10.350.483.10.095210.99863.170.5310.55,1
11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5,5,11.10.390.542.70.095211011.00013.130.519.55,1
11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,7,11.10.420.472.650.0859340.997363.240.7712.17,1
11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,6,11.10.440.422.20.06414190.997583.250.5710.46,1
11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,6,11.10.450.733.20.0666220.99863.170.6611.26,1
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,11.20.280.561.90.07517600.9983.160.589.86,1
11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,5,11.20.40.520.09919500.997833.10.5810.45,1
11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,5,11.20.50.745.150.15170.99963.220.6211.25,1
11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,6,11.20.660.242.50.08516530.99933.060.72116,1
11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,6,11.20.670.552.30.08461313.170.719.56,1
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,11.30.340.4520.0826150.99882.940.669.26,2
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,11.30.340.4520.0826150.99882.940.669.26,2
11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6,11.30.360.662.40.123380.996423.20.5311.96,2
11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6,11.30.360.662.40.123380.996423.20.5311.96,2
11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,5,11.30.370.412.30.0886160.99883.090.89.35,1
11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,5,11.30.370.51.80.0920470.997343.150.5710.55,1
11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,8,11.30.620.675.20.0866190.99883.220.6913.48,1
11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6,11.40.260.443.60.0716190.99863.120.829.36,1
11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,6,11.40.360.692.10.0962113.170.629.26,1
11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,5,11.40.460.52.70.1224171.00063.130.710.25,1
11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,6,11.40.60.492.70.08510410.99943.150.6310.56,1
11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,6,11.40.6250.666.20.0886240.99883.110.9913.36,1
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,11.50.180.5140.1044230.99963.280.9710.16,3
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,11.50.180.5140.1044230.99963.280.9710.16,3
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,11.50.180.5140.1044230.99963.280.9710.16,3
11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6,11.50.30.620.06712270.99813.110.9710.16,1
11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,6,11.50.310.512.20.07914280.99823.030.939.86,1
11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,6,11.50.3150.542.10.0845150.99872.980.79.26,1
11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11,6,11.50.350.493.30.0710371.00033.320.91116,1
11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5,11.50.410.5230.0829551.00013.260.88115,1
11.5,0.42,0.48,2.6,0.077,8,20,0.99852,3.09,0.53,11,5,11.50.420.482.60.0778200.998523.090.53115,1
11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,6,11.50.450.530.07819471.00033.261.11116,1
11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,7,11.50.540.714.40.1246150.99843.010.8311.87,1
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6,11.50.590.592.60.08713490.99883.180.65116,2
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6,11.50.590.592.60.08713490.99883.180.65116,2
11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,6,11.60.230.571.80.074380.99813.140.79.96,1
11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,7,11.60.320.552.80.08135671.00023.320.9210.87,1
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7,11.60.410.541.50.09522410.997353.020.769.97,2
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7,11.60.410.541.50.09522410.997353.020.769.97,2
11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10,5,11.60.410.582.80.096251011.000243.130.53105,1
11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5,11.60.420.533.30.10533981.0013.20.959.25,1
11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6,11.60.440.642.10.0595150.9983.210.6710.26,1
11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,4,11.60.470.441.60.14736510.998363.380.869.94,1
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.03333333,6,11.60.4750.41.40.0916280.997043.070.6510.03333333333336,2
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.03333333,6,11.60.4750.41.40.0916280.997043.070.6510.03333333333336,2
11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,7,11.60.530.663.650.1216140.99783.050.7411.57,1
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,3,11.60.580.662.20.07410471.00083.250.5793,1
11.7,0.28,0.47,1.7,0.054,17,32,0.99686,3.15,0.67,10.6,7,11.70.280.471.70.05417320.996863.150.6710.67,1
11.7,0.45,0.63,2.2,0.073,7,23,0.99974,3.21,0.69,10.9,6,11.70.450.632.20.0737230.999743.210.6910.96,1
11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,5,11.70.490.492.20.08351513.190.439.25,1
11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7,11.80.260.521.80.0716100.99683.20.7210.27,1
11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,7,11.80.330.493.40.09354801.00023.30.7610.77,1
11.8,0.38,0.55,2.1,0.071,5,19,0.9986,3.11,0.62,10.8,6,11.80.380.552.10.0715190.99863.110.6210.86,1
11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,6,11.90.370.692.30.07812240.995830.6512.86,1
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,11.90.380.492.70.09812421.00043.160.6110.35,2
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,11.90.380.492.70.09812421.00043.160.6110.35,2
11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,6,11.90.380.5120.1217200.99963.240.7610.46,1
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6,11.90.390.692.80.09517350.99943.10.6110.86,2
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6,11.90.390.692.80.09517350.99943.10.6110.86,2
11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,6,11.90.40.652.150.0687270.99883.060.6811.36,1
11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,7,11.90.430.663.10.109102313.150.8510.47,1
11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,6,11.90.570.52.60.0826321.00063.120.7810.76,1
11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,6,11.90.580.581.90.0715180.9983.090.63106,1
11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5,11.90.580.662.50.0726370.99923.050.56105,1
